type,fold,fold_time,experiment,vectorizer1,vectorizer2,model1,model2,f1_micro,f1_macro,f1_samples,recall_micro,recall_macro,hamming,avg_labels_true,avg_labels_pred,predict sum,true sum,best_threshold,best_params,config,scaler,pca,pca_after_fusion
text,0,65.727,threshold_0.1,distilbert,,logistic,,0.4529517672699706,0.3914939419475904,0.4514270696286374,0.9680032401782098,0.9217726249813696,0.3313246097337006,2.550619834710744,8.351239669421487,8084,2469,0.1,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,0,65.727,threshold_0.2,distilbert,,logistic,,0.5270625929740245,0.4553051621251224,0.5252590298819638,0.932766302146618,0.8792339594146642,0.2372015610651974,2.550619834710744,6.477272727272728,6270,2469,0.2,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,0,65.727,threshold_0.3,distilbert,,logistic,,0.5726618705035971,0.4990465081366074,0.5706747338978744,0.8865937626569461,0.8403405742228782,0.1875,2.550619834710744,5.347107438016529,5176,2469,0.3,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,0,65.727,threshold_0.4,distilbert,,logistic,,0.6085818181818182,0.537140942842247,0.6047493427142187,0.8473066018631025,0.8040576974291814,0.1544421487603305,2.550619834710744,4.551652892561983,4406,2469,0.4,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,0,65.727,threshold_0.5,distilbert,,logistic,,0.6281762624638147,0.5632638304118011,0.6220769588538183,0.7910085054678008,0.7631823994353859,0.1326905417814508,2.550619834710744,3.8729338842975207,3749,2469,0.5,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,0,65.727,threshold_0.6,distilbert,,logistic,,0.6436863725665297,0.5855910517899209,0.6328251179490848,0.7298501417577967,0.7165656985427046,0.1144972451790633,2.550619834710744,3.2334710743801653,3130,2469,0.6,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,0,65.727,threshold_0.7,distilbert,,logistic,,0.6417112299465241,0.5925782618863829,0.6241672182271356,0.6561360874848117,0.6576620551406231,0.1038223140495867,2.550619834710744,2.665289256198347,2580,2469,0.7,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,1,44.063,threshold_0.1,distilbert,,logistic,,0.4573613766730401,0.3983169083557328,0.4585593691952653,0.9688132847306602,0.9325155768489344,0.3361762615493959,2.6321961620469083,8.519189765458423,7991,2469,0.1,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,1,44.063,threshold_0.2,distilbert,,logistic,,0.5287674391790614,0.4674023058866648,0.530586645819306,0.9287160793843662,0.8984914403443445,0.242063492063492,2.6321961620469083,6.61407249466951,6204,2469,0.2,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,1,44.063,threshold_0.3,distilbert,,logistic,,0.5706813129331764,0.5092018804196543,0.5709173230228667,0.8837586067233698,0.8565848451952341,0.1944444444444444,2.6321961620469083,5.520255863539446,5178,2469,0.3,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
