type,experiment,vectorizer1,vectorizer2,model1,model2,fold_time_sum,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,f1_samples_mean,f1_samples_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std,hamming_mean,hamming_std,avg_labels_true_mean,avg_labels_true_std,avg_labels_pred_mean,avg_labels_pred_std,predict sum_mean,predict sum_std,true sum_mean,true sum_std,best_threshold_mean,best_threshold_std,all_best_params,n_samples,n_labels,outer_cv,inner_cv,use_subset,subset_size,config
graphics,threshold_0.1,resnet50,,logistic,,502.675530910492,0.2782207795261268,0.0089292686600079,0.2399879417947052,0.0088027703390837,0.27393097016799,0.0094572973251878,0.9862714722991492,0.0054186454774941,0.9108018089390638,0.0431271446137401,0.7488526170873826,0.0067737605978345,2.6344338348232057,0.0911986166435152,16.042121335678083,0.107716396122814,1507.8,56.67415636778372,247.3,1.7916472867168916,0.1,0.0,"Counter({'{""estimator__C"": 0.01, ""estimator__class_weight"": ""balanced""}': 10})",940,18,10,3,True,0.1,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [None], 'thresholds_graphics': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True, 'use_subset': True, 'subset_size': 0.1, 'plot_show': True}"
graphics,threshold_0.2,resnet50,,logistic,,502.675530910492,0.3000011665299481,0.0105447649562019,0.2421504314825247,0.0123022453945056,0.2950435756902679,0.0109585677639646,0.9438377249195582,0.0111282984876315,0.8112591375581572,0.0525010657545325,0.6445811907832034,0.0077053183133708,2.6344338348232057,0.0911986166435152,13.941832714398794,0.1006258505979884,1310.5,52.36840650621326,247.3,1.7916472867168916,0.2,0.0,"Counter({'{""estimator__C"": 0.01, ""estimator__class_weight"": ""balanced""}': 10})",940,18,10,3,True,0.1,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [None], 'thresholds_graphics': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True, 'use_subset': True, 'subset_size': 0.1, 'plot_show': True}"
graphics,threshold_0.3,resnet50,,logistic,,502.675530910492,0.3109863783264954,0.0125164579957088,0.2325601781584664,0.01316436067776,0.3055910478146433,0.0127171425298011,0.8115638124717224,0.0209914877411794,0.6278509802890977,0.0431373539214376,0.5262184554947392,0.006621297632883,2.6344338348232057,0.0911986166435152,11.11541537073208,0.1615988953255201,1044.7,40.541460259837706,247.3,1.7916472867168916,0.2999999999999999,5.551115123125783e-17,"Counter({'{""estimator__C"": 0.01, ""estimator__class_weight"": ""balanced""}': 10})",940,18,10,3,True,0.1,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [None], 'thresholds_graphics': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True, 'use_subset': True, 'subset_size': 0.1, 'plot_show': True}"
graphics,threshold_0.4,resnet50,,logistic,,502.675530910492,0.3062154452263637,0.0186495269989958,0.2158509565429456,0.0198978849229361,0.3017716951046144,0.0169420375566703,0.5823001772064845,0.0368224324223735,0.4224066704242585,0.0466789047760344,0.3858407991651563,0.0083314898808679,2.6344338348232057,0.0911986166435152,7.380645175489308,0.2145326223925994,693.6,30.33545780106178,247.3,1.7916472867168916,0.4,0.0,"Counter({'{""estimator__C"": 0.01, ""estimator__class_weight"": ""balanced""}': 10})",940,18,10,3,True,0.1,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [None], 'thresholds_graphics': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True, 'use_subset': True, 'subset_size': 0.1, 'plot_show': True}"
graphics,threshold_0.5,resnet50,,logistic,,502.675530910492,0.2545359332824801,0.0163122602997264,0.1663548315138143,0.0137383973923219,0.2459094592326609,0.0156104452626469,0.3081775041290914,0.0177732209957121,0.2039066283993655,0.0168350991113819,0.264159295166454,0.0065807841174006,2.6344338348232057,0.0911986166435152,3.745837831216658,0.1389988917676908,352.1,19.123022773609826,247.3,1.7916472867168916,0.5,0.0,"Counter({'{""estimator__C"": 0.01, ""estimator__class_weight"": ""balanced""}': 10})",940,18,10,3,True,0.1,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [None], 'thresholds_graphics': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True, 'use_subset': True, 'subset_size': 0.1, 'plot_show': True}"
graphics,threshold_0.6,resnet50,,logistic,,502.675530910492,0.1375574257942757,0.021192286527854,0.0871732977211151,0.0206034973718602,0.1222999754760678,0.0194965253501081,0.1031735638689987,0.0166788539702208,0.0674544245317811,0.0181877199807247,0.1890837342456302,0.0077282200347525,2.6344338348232057,0.0911986166435152,1.3127034776187358,0.1394968370099921,123.5,15.081445554057476,247.3,1.7916472867168916,0.5999999999999999,1.1102230246251563e-16,"Counter({'{""estimator__C"": 0.01, ""estimator__class_weight"": ""balanced""}': 10})",940,18,10,3,True,0.1,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [None], 'thresholds_graphics': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True, 'use_subset': True, 'subset_size': 0.1, 'plot_show': True}"
graphics,threshold_0.7,resnet50,,logistic,,502.675530910492,0.0285693505006993,0.0142618786549377,0.0178621072955049,0.0077317967068166,0.0221389213968043,0.0120737380610712,0.0157953615567742,0.0080640301682414,0.0112603360150289,0.0059617957731555,0.1567943319446408,0.006396251119522,2.6344338348232057,0.0911986166435152,0.2712140620085984,0.0427157959056439,25.4,3.49857113690718,247.3,1.7916472867168916,0.7,0.0,"Counter({'{""estimator__C"": 0.01, ""estimator__class_weight"": ""balanced""}': 10})",940,18,10,3,True,0.1,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [None], 'thresholds_graphics': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True, 'use_subset': True, 'subset_size': 0.1, 'plot_show': True}"
text,default,distilbert,,logistic,,511.0729792118073,0.6301890555190774,0.0089574783306524,0.5884342002505079,0.0086302931000106,0.6127511984571886,0.0095771664390526,0.6460556469139803,0.0218346394959224,0.6588391401671861,0.0241753622812069,0.1099694636410776,0.0042824238387952,2.610716448412144,0.0259586334172437,2.7421599492360182,0.1629886229616219,2595.0,147.6312974948063,2470.8,2.56124969497314,0.6900000000000001,0.0299999999999999,"Counter({'{""estimator__C"": 1.0, ""estimator__class_weight"": ""balanced""}': 10})",9465,18,10,3,False,1.0,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True}"
text,default,distilbert,,logistic,,1864.3428170681,0.6301890555190774,0.0089574783306524,0.5884342002505079,0.0086302931000106,0.6127511984571886,0.0095771664390526,0.6460556469139803,0.0218346394959224,0.6588391401671861,0.0241753622812069,0.1099694636410776,0.0042824238387952,2.610716448412144,0.0259586334172437,2.7421599492360182,0.1629886229616219,2595.0,147.6312974948063,2470.8,2.56124969497314,0.6900000000000001,0.0299999999999999,"Counter({'{""estimator__C"": 1.0, ""estimator__class_weight"": ""balanced""}': 10})",9465,18,10,3,False,1.0,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True}"
text,default,distilbert,,logistic,,491.11079621315,0.6301890555190774,0.0089574783306524,0.5884342002505079,0.0086302931000106,0.6127511984571886,0.0095771664390526,0.6460556469139803,0.0218346394959224,0.6588391401671861,0.0241753622812069,0.1099694636410776,0.0042824238387952,2.610716448412144,0.0259586334172437,2.7421599492360182,0.1629886229616219,2595.0,147.6312974948063,2470.8,2.56124969497314,0.6900000000000001,0.0299999999999999,"Counter({'{""estimator__C"": 1.0, ""estimator__class_weight"": ""balanced""}': 10})",9465,18,10,3,False,1.0,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True}"
