graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,0,13.966280698776243,0.2482280199064997,0.2323518198839687,0.243810095666763,1.0,0.8582988980716253,2.550619834710744,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,1,13.966280698776243,0.255154239652767,0.2385356540619347,0.2511262841952805,1.0,0.8537668798862829,2.6321961620469083,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,2,13.966280698776243,0.2540844199350616,0.2375429100808413,0.2497819633195845,1.0,0.8544692407604204,2.619553666312433,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,3,13.966280698776243,0.253215145770354,0.2368201203407906,0.2487133916781678,1.0,0.8550393054088936,2.6092925026399154,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,4,13.966280698776243,0.2548938800741809,0.2383797110433553,0.2503644219317452,1.0,0.8539378911323651,2.629117959617428,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,5,13.966280698776243,0.2553674649050371,0.2387850237929104,0.250451987094357,1.0,0.8536267897290262,2.6347177848775294,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,6,13.966280698776243,0.2521419828641371,0.2358926662009023,0.2478485956479533,1.0,0.8557422969187675,2.596638655462185,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,7,13.966280698776243,0.2547140649149922,0.2381824852937149,0.2504513776323551,1.0,0.8540559688274885,2.626992561105207,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,8,13.966280698776243,0.2507608034083993,0.2346991931569172,0.2464418811888989,1.0,0.8566457898399443,2.580375782881002,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_1 | {'balanced': True, 'threshold': 0.2}",resnet50,logistic,,,9,13.966280698776243,0.2547705002578648,0.2382228282500121,0.2503962110726315,1.0,0.8540189125295509,2.627659574468085,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.2}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'threshold': 0.3}",resnet50,logistic,,,0,13.893030166625977,0.2482280199064997,0.2323518198839687,0.243810095666763,1.0,0.8582988980716253,2.550619834710744,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.3}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'threshold': 0.3}",resnet50,logistic,,,1,13.893030166625977,0.255154239652767,0.2385356540619347,0.2511262841952805,1.0,0.8537668798862829,2.6321961620469083,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.3}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'threshold': 0.3}",resnet50,logistic,,,2,13.893030166625977,0.2540844199350616,0.2375429100808413,0.2497819633195845,1.0,0.8544692407604204,2.619553666312433,18.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['logistic'], 'balanced': True, 'threshold': 0.3}"
